TABLE_NAME;DOSSIERNUMMER;AANVRAGER;REGELINGNAAM;BELEIDSTERREIN;ORGANISATIEONDERDEEL;PROJECT_NAAM;TYPE_PERIODICITEIT;BEDRAG_AANGEVRAAGD;BEDRAG_VERLEEND;BEDRAG_VASTGESTELD;SUBSIDIEJAAR;DATUM_OVERZICHT
SB_MI_SUBSIDIEREGISTER;SBA-004569;stichting NGMedia;Eenmalige Initiatieven SD Oost;Algemeen;stadsdeel Oost;Registratie bijeenkomsten bestuurscommissie stadsdeel oost in de Flexbieb op IJburg;Eenmalig;5000.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003754;stichting NGMedia;Eenmalige Initiatieven SD Oost;Algemeen;stadsdeel Oost;"Mediaworkshops ""Jonge Journalisten"" voor jeugd van 10 tot 16 jaar op IJburg";Eenmalig;5500.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003755;De Zakenpartner Amsterdam BV;"Nadere regels subsidie ""Jongerenwerk""";Jeugd;stadsdeel West;Subsidie Jongerenwerk West;Eenmalig;39650.00;39650.00;39650.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003765;Zangvereniging Het Musiforum;Eenmalige Initiatieven SD Nieuw-West;Algemeen;stadsdeel Nieuw-West;Winterconcert;Eenmalig;1500.00;1500.00;1500.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003768;Improve Performance / Bodyvita;Subsidieregeling voor de aanschaf van elektrische voertuigen voor zakelijk gebruik in Amsterdam;Ruimte en Duurzaamheid;Ruimte en Duurzaamheid;Mercedes-Benz B250e;Eenmalig;5000.00;5000.00;NULL;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003769;Lastpost.tv;Subsidieregeling voor de aanschaf van elektrische voertuigen voor zakelijk gebruik in Amsterdam;Ruimte en Duurzaamheid;Ruimte en Duurzaamheid;Renault Zoe;Eenmalig;5000.00;5000.00;5000.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003794;Stichting stedelijk museum Amsterdam;Subsidie tijdelijk kunstprojecten;Cultuur;stadsdeel Zuid;evenement op het museumplein;Eenmalig;20000.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-007058;Stichting stedelijk museum Amsterdam;Verordening Amsterdamse culturele infrastructuur, Hoofdlijnen en Kunstenplan;Cultuur;Kunst en Cultuur;Stedelijk Museum Amsterdam 2017;Periodiek;12197372.00;12197372.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-009320;Stichting stedelijk museum Amsterdam;Begrotingspost Subsidie Kunst en Cultuur (Organisatiespecifiek);Algemeen;Kunst en Cultuur;Cultureel Beleggen 2017;Eenmalig;7473.00;7473.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-011144;Stichting stedelijk museum Amsterdam;Verordening Amsterdamse culturele infrastructuur, Hoofdlijnen en Kunstenplan;Cultuur;Kunst en Cultuur;Stedelijk Museum Amsterdam 2018;Periodiek;12372349.00;12372349.00;NULL;2018;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-011495;Stichting stedelijk museum Amsterdam;Subsidieregeling stimuleren van duurzaam meerjarenonderhoud vastgoed met een culturele bestemming;Cultuur;Kunst en Cultuur;het sturen van de luchtbehandelingkasten op CO2;Eenmalig;25000.00;25000.00;NULL;2018;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-011791;Stichting Samenwerkingsschool voor Algemeen Bijzonder Voortgezet Onderwijs IJburg;Subsidieregeling tegemoetkoming in aanvulling op cao vergoede reiskosten;Onderwijs;Onderwijs, Jeugd en Zorg;Behoud leraren tekortvakken;Eenmalig;16248.80;16248.80;NULL;2018;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-011932;Stichting Samenwerkingsschool voor Algemeen Bijzonder Voortgezet Onderwijs IJburg;Basisvoorziening versterken pedagogische dragende samenleving en (talent)ontwikkeling bij jeugdigen;Jeugd;stadsdeel Oost;Projectweek rondom diversiteit;Eenmalig;11995.00;.00;NULL;2018;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-007785;Stichting Samenwerkingsschool voor Algemeen Bijzonder Voortgezet Onderwijs IJburg;Onderwijshuisvesting (VloA);Onderwijs;Onderwijs, Jeugd en Zorg;onderhoud brand en inbraak installatie IJburg College 1 en 2;Eenmalig;4600.00;4600.00;4600.00;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008264;Stichting Samenwerkingsschool voor Algemeen Bijzonder Voortgezet Onderwijs IJburg;Subsidie Amsterdamse Scholenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Leren voor de toekomst op onze brede schoolgemeenschap;Eenmalig;75000.00;75000.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008623;Stichting Samenwerkingsschool voor Algemeen Bijzonder Voortgezet Onderwijs IJburg;Subsidie Amsterdamse Lerarenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;Lerarenbeurs voortgezet onderwijs;Eenmalig;19682.00;16792.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-004731;Stichting Samenwerkingsschool voor Algemeen Bijzonder Voortgezet Onderwijs IJburg;Subsidie Amsterdamse Lerarenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;lerarenbeurs;Eenmalig;39824.00;39824.00;31074.01;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003898;Stichting Derwisj;Subsidieregeling Amsterdam Dialoog 2015-2016;Participatie;Onderwijs, Jeugd en Zorg;Ashura verbindt;Eenmalig;4470.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003899;Stichting Diversity Joy;Subsidieregeling Amsterdam Dialoog 2015-2016;Participatie;Onderwijs, Jeugd en Zorg;Community Leadership Programma;Eenmalig;20000.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003900;Duidingsdienst BV;Subsidieregeling Amsterdam Dialoog 2015-2016;Participatie;Onderwijs, Jeugd en Zorg;Voorbij het meten met twee maten;Eenmalig;20000.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003905;Stichting George & Eran producties;Subsidieregeling Amsterdam Dialoog 2015-2016;Participatie;Onderwijs, Jeugd en Zorg;Wij zijn er;Eenmalig;20000.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003907;vereniging Dappere dames (M. Frindi);Subsidieregeling Amsterdam Dialoog 2015-2016;Participatie;Onderwijs, Jeugd en Zorg;Samen staan we sterk;Eenmalig;2200.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-006360;vereniging Dappere dames (M. Frindi);Basisvoorziening activering, participatie en sociale accommodaties (SD Oost);Welzijn en Zorg;stadsdeel Oost;activiteiten gericht op activering van vrouwen;Periodiek;17349.00;14000.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003909;Het Vrije Westen;Nadere regels subsidie Kunst Cultuur West;Cultuur;stadsdeel West;Bevrijdingsfestival Amsterdam Het Vrije Westen;Eenmalig;3000.00;3000.00;3000.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008638;Het Vrije Westen;Gebiedsgebonden Kunst en cultuuractiviteiten Stadsdeel West;Cultuur;stadsdeel West;Vrijheidscolleges;Eenmalig;3000.00;3000.00;3000.00;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-008150;Kroonenberg Groep B.V.;Basisvoorziening activering, participatie en sociale accommodaties (SD Zuid);Welzijn en Zorg;stadsdeel Zuid;Gelderlandpleinlijn 2017;Eenmalig;30000.00;30000.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003910;Kroonenberg Groep B.V.;Subsidie Zorg voor Zuid;Welzijn en Zorg;stadsdeel Zuid;vervoer voor ouderen en mindervaliden in buitenveldert;Periodiek;30000.00;30000.00;30000.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003912;Jonge Sla;Subsidieregeling Amsterdam Dialoog 2015-2016;Participatie;Onderwijs, Jeugd en Zorg;Journalistiek bureau (multimedia);Eenmalig;13552.00;6776.00;6776.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003913;Stichting Wi Kon Na Wan;Nadere regels subsidie Evenementenfonds 2016 Zuidoost;Cultuur;stadsdeel Zuidoost;Little Miss Kwakoe Evenement;Eenmalig;5415.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003920;Stichting Miracles By Appointment;Subsidieregeling Amsterdam Dialoog 2015-2016;Participatie;Onderwijs, Jeugd en Zorg;Cook & Tell, van Buitenstander tot Bruggenbouwer;Eenmalig;20000.00;10000.00;10000.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-003946;Stichting Montessori Scholengemeenschap Amsterdam;Subsidie Amsterdamse Scholenbeurs primair en voorgezet onderwijs;Onderwijs;Onderwijs, Jeugd en Zorg;scholenbeurs PO/VO MSA: MLA;Eenmalig;75000.00;75000.00;NULL;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-006334;Stichting Montessori Scholengemeenschap Amsterdam;Voorziening pilot co-docent in het vmbo;Onderwijs;Onderwijs, Jeugd en Zorg;pilot co-docent vmbo;Eenmalig;9250.00;9250.00;9250.00;2016;2018-05-02 01:00:11.660
