TABLE_NAME,DOSSIERNUMMER,AANVRAGER,REGELINGNAAM,BELEIDSTERREIN,ORGANISATIEONDERDEEL,PROJECT_NAAM,TYPE_PERIODICITEIT,BEDRAG_AANGEVRAAGD,BEDRAG_VERLEEND,BEDRAG_VASTGESTELD,SUBSIDIEJAAR,DATUM_OVERZICHT
SB_MI_SUBSIDIEREGISTER,SBA-001355,(Particulier),Subsidieregeling Activiteiten door vrijwilligersorganisaties,Welzijn en Zorg,stadsdeel Oost,Buurtactiviteiten,Periodiek,7840,4320,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001356,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,club creatief. Kaarten maken,Eenmalig,254.8,254.8,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001372,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Buurtfeest Beemsterstraat dichter bij elkaar,Eenmalig,4500,1000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001376,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Midzomerfestival Schellingwoude 15e editie,Eenmalig,2500,1800,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001385,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Aerobics sport voor vrouwen,Eenmalig,888,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001387,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Ouderenmiddag met bingo,Eenmalig,2100,1500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001396,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Vrouwenontmoeting,Eenmalig,1175,925,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001397,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,Stichting WOOR,Eenmalig,1820,1820,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001436,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,Werkgroep Amsterdams Vredescafe organiseert ruim 25 jaar 10 avonden per jaar in Het Huis van de Wijk,Eenmalig,2300,2000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001442,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Zangkoor Double Dutch,Eenmalig,1375,1325,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001443,(Particulier),Subsidieregeling Amsterdam Dialoog 2015-2016,Participatie,"Onderwijs, Jeugd en Zorg",Said & Lody Dialoogtafels,Eenmalig,20000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001445,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,activiteiten ontmoetingsruimte De Wasknijper,Eenmalig,751,600,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001451,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Interculturele Ontmoetingsochtend voor vrouwen,Eenmalig,1093,1093,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001456,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,"Hanging Baskets deel Beemsterstraat (Andishe tot dagverblijf, Kimme)",Eenmalig,1600,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001459,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Aerobics sport voor vrouwen,Eenmalig,888,888,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001466,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Senioren Salon,Eenmalig,630,440,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001469,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,teken en schilderen,Eenmalig,432,432,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001474,(Particulier),Nadere regels subsidies versterking bewonersparticipatie stadsdeel Zuidoost 2013,Participatie,stadsdeel Zuidoost,versterking bewonersparticipatie,Eenmalig,5000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001478,(Particulier),Eenmalige Initiatieven SD Zuidoost,Algemeen,stadsdeel Zuidoost,"Verbetering, ondersteunen en optimaliseren via vrijwillige diensten dmv initiatieven in Zuidoost",Eenmalig,5000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001489,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,hangende tuinen aov palen,Eenmalig,5000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001499,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Gevelbakken beplanting Spinakerhof en Fokkezeil,Eenmalig,1432.5,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001502,(Particulier),Nadere regels subsidies versterking bewonersparticipatie stadsdeel Zuidoost 2013,Participatie,stadsdeel Zuidoost,Sporttoernooi dag K-buurt Zuidoost,Eenmalig,3648.5,2264,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001508,(Particulier),Subsidieregeling wonen boven bedrijven stadsdeel Amsterdam-Centrum,Stedelijke ontwikkeling en wonen,stadsdeel Centrum,wonen boven winkels voor 3 woningen,Eenmalig,75000,50000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001509,(Particulier),Eenmalige Initiatieven SD Noord,Algemeen,stadsdeel Noord,Taalproject waarin jongeren interactief kennis maken met Nederlandse spreekwoorden en uitdrukkingen.,Eenmalig,10000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001510,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Klaverjasclub De Vriendenkring,Eenmalig,500,500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001513,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Kledingruil voor Noorderlingen,Eenmalig,1050,730,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001517,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,ter ondersteuning aktiviteiten Belangen en Ontspanningsvereniging Stellingwegflat,Eenmalig,2015,800,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001523,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Buurtkrant Vogelbuurt/IJplein  1e editie,Eenmalig,2990,2990,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001524,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Het aanpakken van lokaal sociale problemen onder kwetsbare doelgroepen in Plan van Gool wijk,Eenmalig,5000,800,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001530,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Buurfeest,Eenmalig,1110,260,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001531,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,2 maal ouderenmiddag in Tuindorp Oostzaan,Eenmalig,4000,2050,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001536,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,potten bakken in de Evenaar,Eenmalig,500,500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001537,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Nieuwjaarsreceptie in Schellingwoude 2016,Eenmalig,515,255,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001545,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Buurtkrant Vogelbuurt/IJplein  2e edite,Eenmalig,2990,2990,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001549,(Particulier),Subsidie Zorg voor Zuid,Welzijn en Zorg,stadsdeel Zuid,Opleiding vrijwilligers voor De Nieuwe Coenen,Periodiek,30000,24100,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001556,(Particulier),Subsidieregeling Bewonersinitiatieven,Welzijn en Zorg,stadsdeel Zuid,buurtcompostproject,Eenmalig,1970,1970,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001559,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Spelmiddagen Molenwijk,Eenmalig,745,590,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001561,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,"Zwemlessen voor vrouwen, zie bijgevoegd bilagen: lijst van deelnemers",Eenmalig,3630,1815,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001566,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,EHBO workshop,Eenmalig,2280,2280,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001570,(Particulier),Begrotingspost Subsidies SD Noord (Organisatiespecifiek),Algemeen,stadsdeel Noord,"Plejater, meespeeltheater voor kinderen",Eenmalig,4500,4500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001571,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Burendag 2016 Festival der mogelijkheden,Eenmalig,5000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001572,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Concerten in periode van jan tot dec gegeven door Amsemble in Amsterdam- en Landelijk-Noord,Eenmalig,9858.7,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001573,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,voor het geven van Workshop Acteren aan mensen in Amsterdam Noord,Eenmalig,2950,2090,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001574,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,"Bewonersinitiatief ""meedoen in Noord'",Eenmalig,2800,1200,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001577,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,theesalon activititeiten vrouwengroep,Eenmalig,1300,950,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001583,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,uitgave Breednieuws 2016,Eenmalig,3000,2350,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001584,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Bingo-Muziek-Dansavonden-Klaverjassen-Biljarten-Bustochten en spelletjes,Eenmalig,2015,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001595,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,2e camera R4TV online tv zender Rivierenbuurt,Eenmalig,2000,2000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001602,(Particulier),Eenmalige Initiatieven SD Noord,Algemeen,stadsdeel Noord,Podium Amsterdam Noord in de Buiksloterkerk.,Eenmalig,60000,40000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001611,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,diverse activiteiten in de Banne Noord en Zuid,Eenmalig,15862,8000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001612,(Particulier),Eenmalige Initiatieven SD West,Algemeen,stadsdeel West,Oud is Goud Documentair mode project,Eenmalig,1000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001645,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,ruimtehuur Klaverjasgroep de Banne,Eenmalig,896.4,896.4,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001686,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,Zingen In Zuid,Eenmalig,2000,2000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001699,(Particulier),Nadere regels subsidies versterking bewonersparticipatie stadsdeel Zuidoost 2013,Participatie,stadsdeel Zuidoost,Kinderproject 2016 behorende bij Vrouwenproject Caraibic 2016,Eenmalig,5000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001700,(Particulier),Nadere regels subsidies versterking bewonersparticipatie stadsdeel Zuidoost 2013,Participatie,stadsdeel Zuidoost,Vrouwenproject Caraibic 2016,Eenmalig,5000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001762,(Particulier),Subsidieregeling buurtbudgetten (West),Participatie,stadsdeel West,Soeptuin Bredius,Eenmalig,4950,3500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001794,(Particulier),Subsidieregeling Bewonersinitiatieven,Welzijn en Zorg,stadsdeel Zuid,Boekenpaal in het Amstelpark,Eenmalig,3490,3490,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001796,(Particulier),Subsidieregeling Festivals Oost,Cultuur,stadsdeel Oost,Viva Brasil Festival,Eenmalig,50000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001828,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,"bevorderen zelfzorg, mantelzorg, vrijwilligerszorg met interactieve website",Eenmalig,1500,1500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001817,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,huur lokaal  en expositie,Eenmalig,496,496,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001855,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,kinderactiviteit dans sport,Eenmalig,486.43,486.43,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001857,(Particulier),Subsidieregeling Bewonersinitiatieven,Welzijn en Zorg,stadsdeel Zuid,Gezamelijke compostbak Merwedeplein,Eenmalig,3250,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001870,(Particulier),Nadere regels subsidies versterking bewonersparticipatie stadsdeel Zuidoost 2013,Participatie,stadsdeel Zuidoost,Kookclub de 3 monden,Eenmalig,3920,3920,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001875,(Particulier),Subsidieregeling Festivals Oost,Cultuur,stadsdeel Oost,De Toren van Babel,Eenmalig,5000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001897,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,klassiek concert voor middelbare scholieren en ouderen,Eenmalig,4500,4500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001902,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,Podium Lydia,Eenmalig,1000,1000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001903,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,Valentijnsdag voor senioren en young professionals uit stadsdeel Zuid,Eenmalig,1520,1520,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001912,(Particulier),Stimuleren Creatieve en Ambachtelijke bedrijvigheid in kleinschalige bedrijfsruimte in de wijken De,Economie,stadsdeel West,Bouwen escape room,Eenmalig,25000,25000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001921,(Particulier),Eenmalige Initiatieven SD Zuid,Algemeen,stadsdeel Zuid,organiseren van inloopbridge voor ouderen in Buitenveldert,Eenmalig,900,900,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001968,(Particulier),Eenmalige Initiatieven SD Noord,Algemeen,stadsdeel Noord,"On the Roof, 7 concerten Jazz en Wereldmuziek, hoog artistiek niveau en bijzondere locatie",Eenmalig,4000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001969,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Huis van de Levenskunst,Eenmalig,300,300,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001982,(Particulier),Subsidieregeling Bewonersinitiatieven,Participatie,stadsdeel Oost, Bewonersgroep Commelinstraat,Eenmalig,1000,1000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001989,(Particulier),Nadere regels subsidie Kunst Cultuur West,Cultuur,stadsdeel West,Community art project Pay it Forward! de KettingKusss,Eenmalig,2000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-002017,(Particulier),Subsidieregeling Amsterdam Dialoog 2015-2016,Participatie,"Onderwijs, Jeugd en Zorg",Amsterdam Dialoog,Eenmalig,3800,3800,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-002018,(Particulier),Eenmalige Initiatieven SD Centrum,Algemeen,stadsdeel Centrum,Cultuurbudget 2016 A,Eenmalig,1550,1550,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-002019,(Particulier),Eenmalige Initiatieven SD Oost,Algemeen,stadsdeel Oost,4 mei 2016 herdenking Keesje Brijdeplantsoen,Eenmalig,1475,875,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-002022,(Particulier),"Bijzondere verordening basiskwaliteit woningbouw marktsector Amsterdam, energie neutrale woningen",Stedelijke ontwikkeling en wonen,Wonen,oprichten van een energieneutrale woningen,Eenmalig,1000,1000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-002014,(Particulier),Eenmalige Initiatieven SD Centrum,Algemeen,stadsdeel Centrum,verhalenfestival Jordaan 2016,Eenmalig,6000,6000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-002015,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,eenmalige bijdrage vrijwilligersactiviteiten,Eenmalig,785,785,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-002032,(Particulier),Eenmalige Initiatieven SD Zuidoost,Algemeen,stadsdeel Zuidoost,Een project voor vergroten van netwerk van vrouwen die meer kans op de arbeidsmarkt willen maken,Eenmalig,5000,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-002036,(Particulier),Subsidieregeling Bewonersinitiatieven,Welzijn en Zorg,stadsdeel Zuid,Buurt top samen met deelraadcommissie,Eenmalig,12000,8000,NULL,2016,2016-11-07 01:00
